# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2014-01-01T00:00:00.0
# Date end (ISO 8601): 2022-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2018-10-01T00:00:00.0/2018-11-01T00:00:00.0;210941.3906;143523.5312;102475.9766;41047.5469;193650.0938;122818.8359;76626.1719;46192.6641;146464.5469;0.9822
2018-11-01T00:00:00.0/2018-12-01T00:00:00.0;154443.7812;106050.2344;79180.5547;26869.6758;184637.8594;83718.1484;51205.8984;32512.2520;121100.4453;0.9804
2018-12-01T00:00:00.0/2019-01-01T00:00:00.0;134833.4844;94223.2344;74481.8203;19741.4141;199209.7344;71080.4297;44315.5586;26764.8730;121550.2344;0.9801
2019-01-01T00:00:00.0/2019-02-01T00:00:00.0;148349.0156;103494.4453;77810.5703;25683.8789;194168.6250;64156.5000;31538.0840;32618.4160;81525.4531;0.9790
2019-02-01T00:00:00.0/2019-03-01T00:00:00.0;174014.3438;124002.8516;95094.8672;28907.9844;196604.1875;94960.5859;58744.3555;36216.2305;121217.5625;0.9786
2019-03-01T00:00:00.0/2019-04-01T00:00:00.0;250948.2031;186695.8438;151238.5156;35457.3242;265269.4062;152706.5781;104433.3203;48273.2539;183968.9844;0.9813
2019-04-01T00:00:00.0/2019-05-01T00:00:00.0;296069.0000;207784.0469;149000.3906;58783.6680;226226.5625;164308.8750;104013.6016;60295.2773;156003.2500;0.9813
2019-05-01T00:00:00.0/2019-06-01T00:00:00.0;342876.4062;247481.5000;188422.7344;59058.7734;270778.3438;208980.2969;137875.8438;71104.4453;198665.1406;0.9803
2019-06-01T00:00:00.0/2019-07-01T00:00:00.0;345873.2812;249356.8906;193129.2500;56227.6406;271163.1250;244817.3906;186762.7500;58054.6289;261265.6875;0.9784
2019-07-01T00:00:00.0/2019-08-01T00:00:00.0;348880.1250;251773.1094;198604.0312;53169.0781;282534.3125;244410.2188;188052.7188;56357.4961;267237.4062;0.9796
2019-08-01T00:00:00.0/2019-09-01T00:00:00.0;318156.4688;230179.0156;183354.0781;46824.9375;272368.0938;227847.3750;180156.6250;47690.7539;267409.0000;0.9815
2019-09-01T00:00:00.0/2019-10-01T00:00:00.0;260900.9219;185006.2656;142112.4062;42893.8594;231771.3906;175564.0312;127971.1953;47592.8320;208885.2500;0.9825
2019-10-01T00:00:00.0/2019-11-01T00:00:00.0;211406.5000;147387.2969;111851.5000;35535.8008;214790.9375;132122.5781;95487.1016;36635.4766;186383.3906;0.9813
2019-11-01T00:00:00.0/2019-12-01T00:00:00.0;154762.5938;105293.1484;77136.6016;28156.5449;178745.9531;75205.3828;41396.3008;33809.0859;97497.9609;0.9798
2019-12-01T00:00:00.0/2020-01-01T00:00:00.0;134883.8750;92668.2266;69464.2109;23204.0117;183764.8906;67215.7578;40122.9961;27092.7598;109862.5391;0.9799
2020-01-01T00:00:00.0/2020-02-01T00:00:00.0;148087.0938;105033.3125;82630.5625;22402.7461;207862.2031;82689.7969;54987.3359;27702.4609;141811.6562;0.9808
2020-02-01T00:00:00.0/2020-03-01T00:00:00.0;180707.7812;132684.8438;108873.0078;23811.8359;227964.7344;105003.9375;70615.5859;34388.3516;146445.1250;0.9804
2020-03-01T00:00:00.0/2020-04-01T00:00:00.0;252446.9688;183390.8906;142170.8125;41220.0742;246301.8906;154384.0156;105147.0625;49236.9453;184854.7656;0.9818
2020-04-01T00:00:00.0/2020-05-01T00:00:00.0;297202.1562;217929.0469;170074.7031;47854.3398;258935.1094;178444.9531;120815.3828;57629.5703;182631.7500;0.9820
2020-05-01T00:00:00.0/2020-06-01T00:00:00.0;343517.4062;252251.9375;196072.0938;56179.8320;282015.2812;227931.1875;156966.0000;70965.1953;227811.2969;0.9797
2020-06-01T00:00:00.0/2020-07-01T00:00:00.0;345938.8438;255923.9531;210415.6719;45508.2812;301179.9062;248415.3438;198898.0469;49517.2969;284490.6250;0.9790
2020-07-01T00:00:00.0/2020-08-01T00:00:00.0;348389.6875;255060.9688;206823.1719;48237.8008;297166.4688;252759.4844;203344.5156;49414.9727;291732.0000;0.9801
2020-08-01T00:00:00.0/2020-09-01T00:00:00.0;317148.4688;230959.3125;188287.0781;42672.2383;283045.9062;227759.6406;183583.5938;44176.0391;276765.8438;0.9822
2020-09-01T00:00:00.0/2020-10-01T00:00:00.0;259558.6719;183380.5625;139537.3281;43843.2305;226811.8906;163052.5469;116406.1406;46646.4062;190338.1094;0.9828
