time_utc,total_production_active_power_kW
2024-04-07 08:15:00+00:00,5659.58984375
2024-04-07 08:30:00+00:00,6157.9775390625
2024-04-07 08:45:00+00:00,6613.1708984375
2024-04-07 09:00:00+00:00,7046.11767578125
2024-04-07 09:15:00+00:00,7427.69775390625
2024-04-07 09:30:00+00:00,7804.3212890625
2024-04-07 09:45:00+00:00,8076.10107421875
2024-04-07 10:00:00+00:00,8334.73046875
2024-04-07 10:15:00+00:00,8611.72265625
2024-04-07 10:30:00+00:00,8841.66796875
2024-04-07 10:45:00+00:00,9001.5419921875
2024-04-07 11:00:00+00:00,9118.1611328125
2024-04-07 11:15:00+00:00,9180.9482421875
2024-04-07 11:30:00+00:00,9219.6962890625
2024-04-07 11:45:00+00:00,9220.205078125
2024-04-07 12:00:00+00:00,9150.1533203125
2024-04-07 12:15:00+00:00,9037.0234375
2024-04-07 12:30:00+00:00,8904.880859375
2024-04-07 12:45:00+00:00,8783.5693359375
2024-04-07 13:00:00+00:00,8582.3701171875
2024-04-07 13:15:00+00:00,8367.5185546875
2024-04-07 13:30:00+00:00,8137.36669921875
2024-04-07 13:45:00+00:00,7878.0
2024-04-07 14:00:00+00:00,7557.2568359375
2024-04-07 14:15:00+00:00,7180.03564453125
2024-04-07 14:30:00+00:00,6733.6435546875
2024-04-07 14:45:00+00:00,6270.11572265625
2024-04-07 15:00:00+00:00,5777.7646484375
2024-04-07 15:15:00+00:00,5245.52978515625
2024-04-07 15:30:00+00:00,4709.13330078125
2024-04-07 15:45:00+00:00,4050.8623046875
2024-04-07 16:00:00+00:00,3450.83666992188
2024-04-07 16:15:00+00:00,3055.20434570313
2024-04-07 16:30:00+00:00,2357.09765625
2024-04-07 16:45:00+00:00,1703.74780273438
2024-04-07 17:00:00+00:00,1380.91003417969
2024-04-07 17:15:00+00:00,863.296691894531
2024-04-07 17:30:00+00:00,623.132202148438
2024-04-07 17:45:00+00:00,413.092224121094
2024-04-07 18:00:00+00:00,58.5200004577637
2024-04-07 18:15:00+00:00,0.0
2024-04-07 18:30:00+00:00,0.0
2024-04-07 18:45:00+00:00,0.0
2024-04-07 19:00:00+00:00,0.0
2024-04-07 19:15:00+00:00,0.0
2024-04-07 19:30:00+00:00,0.0
2024-04-07 19:45:00+00:00,0.0
2024-04-07 20:00:00+00:00,0.0
2024-04-07 20:15:00+00:00,0.0
2024-04-07 20:30:00+00:00,0.0
2024-04-07 20:45:00+00:00,0.0
2024-04-07 21:00:00+00:00,0.0
2024-04-07 21:15:00+00:00,0.0
2024-04-07 21:30:00+00:00,0.0
2024-04-07 21:45:00+00:00,0.0
2024-04-07 22:00:00+00:00,0.0
2024-04-07 22:15:00+00:00,0.0
2024-04-07 22:30:00+00:00,0.0
2024-04-07 22:45:00+00:00,0.0
2024-04-07 23:00:00+00:00,0.0
2024-04-07 23:15:00+00:00,0.0
2024-04-07 23:30:00+00:00,0.0
2024-04-07 23:45:00+00:00,0.0
2024-04-08 00:00:00+00:00,0.0
2024-04-08 00:15:00+00:00,0.0
2024-04-08 00:30:00+00:00,0.0
2024-04-08 00:45:00+00:00,0.0
2024-04-08 01:00:00+00:00,0.0
2024-04-08 01:15:00+00:00,0.0
2024-04-08 01:30:00+00:00,0.0
2024-04-08 01:45:00+00:00,0.0
2024-04-08 02:00:00+00:00,0.0
2024-04-08 02:15:00+00:00,0.0
2024-04-08 02:30:00+00:00,0.0
2024-04-08 02:45:00+00:00,0.0
2024-04-08 03:00:00+00:00,0.0
2024-04-08 03:15:00+00:00,0.0
2024-04-08 03:30:00+00:00,0.0
2024-04-08 03:45:00+00:00,0.0
2024-04-08 04:00:00+00:00,0.0
2024-04-08 04:15:00+00:00,0.0
2024-04-08 04:30:00+00:00,0.0
2024-04-08 04:45:00+00:00,0.0
2024-04-08 05:00:00+00:00,0.0
2024-04-08 05:15:00+00:00,0.0
2024-04-08 05:30:00+00:00,0.0
2024-04-08 05:45:00+00:00,196.91667175293
2024-04-08 06:00:00+00:00,577.748901367188
2024-04-08 06:15:00+00:00,1097.97448730469
2024-04-08 06:30:00+00:00,1713.42004394531
2024-04-08 06:45:00+00:00,2397.3955078125
2024-04-08 07:00:00+00:00,3111.90673828125
2024-04-08 07:15:00+00:00,3792.91552734375
2024-04-08 07:30:00+00:00,4489.5224609375
2024-04-08 07:45:00+00:00,5137.9755859375
2024-04-08 08:00:00+00:00,5714.99755859375
2024-04-08 08:15:00+00:00,6241.56982421875
2024-04-08 08:30:00+00:00,6748.98681640625
2024-04-08 08:45:00+00:00,7211.453125
2024-04-08 09:00:00+00:00,7640.080078125
2024-04-08 09:15:00+00:00,8001.04541015625
2024-04-08 09:30:00+00:00,8384.5673828125
2024-04-08 09:45:00+00:00,8597.0869140625
2024-04-08 10:00:00+00:00,8832.5146484375
2024-04-08 10:15:00+00:00,9083.4951171875
2024-04-08 10:30:00+00:00,9233.0830078125
2024-04-08 10:45:00+00:00,9249.595703125
2024-04-08 11:00:00+00:00,9329.52734375
2024-04-08 11:15:00+00:00,9448.2900390625
2024-04-08 11:30:00+00:00,9365.5556640625
2024-04-08 11:45:00+00:00,9507.298828125
2024-04-08 12:00:00+00:00,9519.0693359375
2024-04-08 12:15:00+00:00,9463.2470703125
2024-04-08 12:30:00+00:00,9415.7841796875
2024-04-08 12:45:00+00:00,9252.9580078125
2024-04-08 13:00:00+00:00,9071.1640625
2024-04-08 13:15:00+00:00,8843.8369140625
2024-04-08 13:30:00+00:00,8567.91015625
2024-04-08 13:45:00+00:00,8268.646484375
2024-04-08 14:00:00+00:00,7909.982421875
2024-04-08 14:15:00+00:00,7505.3466796875
2024-04-08 14:30:00+00:00,7095.703125
2024-04-08 14:45:00+00:00,6657.306640625
2024-04-08 15:00:00+00:00,6166.427734375
2024-04-08 15:15:00+00:00,5617.76220703125
2024-04-08 15:30:00+00:00,5040.31982421875
2024-04-08 15:45:00+00:00,4437.41650390625
2024-04-08 16:00:00+00:00,3825.21337890625
2024-04-08 16:15:00+00:00,3168.69213867188
2024-04-08 16:30:00+00:00,2490.34228515625
2024-04-08 16:45:00+00:00,1824.78442382813
2024-04-08 17:00:00+00:00,1202.96667480469
2024-04-08 17:15:00+00:00,684.362243652344
2024-04-08 17:30:00+00:00,330.117767333984
2024-04-08 17:45:00+00:00,101.824447631836
2024-04-08 18:00:00+00:00,0.0
2024-04-08 18:15:00+00:00,0.0
2024-04-08 18:30:00+00:00,0.0
2024-04-08 18:45:00+00:00,0.0
2024-04-08 19:00:00+00:00,0.0
2024-04-08 19:15:00+00:00,0.0
2024-04-08 19:30:00+00:00,0.0
2024-04-08 19:45:00+00:00,0.0
2024-04-08 20:00:00+00:00,0.0
2024-04-08 20:15:00+00:00,0.0
2024-04-08 20:30:00+00:00,0.0
2024-04-08 20:45:00+00:00,0.0
2024-04-08 21:00:00+00:00,0.0
2024-04-08 21:15:00+00:00,0.0
2024-04-08 21:30:00+00:00,0.0
2024-04-08 21:45:00+00:00,0.0
2024-04-08 22:00:00+00:00,0.0
2024-04-08 22:15:00+00:00,0.0
2024-04-08 22:30:00+00:00,0.0
2024-04-08 22:45:00+00:00,0.0
2024-04-08 23:00:00+00:00,0.0
2024-04-08 23:15:00+00:00,0.0
