# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-08-18T00:00:00.0/2023-08-19T00:00:00.0;10200.3389;7381.7085;5777.8735;1603.8352;8601.7285;7347.1372;5729.1982;1617.9390;8371.6562;0.9826
2023-08-19T00:00:00.0/2023-08-20T00:00:00.0;10155.7891;7276.6255;5537.0981;1739.5272;8216.3291;7276.6255;5537.0981;1739.5272;8216.3291;0.9833
2023-08-20T00:00:00.0/2023-08-21T00:00:00.0;10110.5967;7305.5034;5686.8135;1618.6899;8503.8506;7305.5034;5686.8135;1618.6899;8503.8506;0.9840
2023-08-21T00:00:00.0/2023-08-22T00:00:00.0;10064.8096;7365.5327;5922.7812;1442.7513;8947.0771;7365.5327;5922.7812;1442.7513;8947.0771;0.9792
2023-08-22T00:00:00.0/2023-08-23T00:00:00.0;10018.3477;7392.1074;5874.0508;1518.0568;8902.3018;7392.1074;5874.0508;1518.0568;8902.3018;0.9802
2023-08-23T00:00:00.0/2023-08-24T00:00:00.0;9971.3027;7111.4502;5268.6240;1842.8262;7779.3804;7111.4502;5268.6240;1842.8262;7779.3804;0.9812
2023-08-24T00:00:00.0/2023-08-25T00:00:00.0;9923.6396;6459.1182;3716.6782;2742.4397;5308.0791;6409.2734;3659.8882;2749.3853;5140.2700;0.9816
2023-08-25T00:00:00.0/2023-08-26T00:00:00.0;9875.3506;6521.8535;3900.5190;2621.3342;5591.2632;6146.9102;3561.3308;2585.5793;4961.0479;0.9826
2023-08-26T00:00:00.0/2023-08-27T00:00:00.0;9826.4980;6875.7261;4852.2827;2023.4432;7108.4697;6048.6216;3916.6738;2131.9475;5421.7993;0.9833
2023-08-27T00:00:00.0/2023-08-28T00:00:00.0;9777.0654;6981.3818;5250.4678;1730.9141;7913.7451;6981.3818;5250.4678;1730.9141;7913.7451;0.9840
2023-08-28T00:00:00.0/2023-08-29T00:00:00.0;9727.0605;7055.8950;5516.1074;1539.7875;8419.4561;7055.8950;5516.1074;1539.7875;8419.4561;0.9847
2023-08-29T00:00:00.0/2023-08-30T00:00:00.0;9676.4746;6720.9292;4465.2046;2255.7249;6758.2324;6602.2622;4191.0449;2411.2170;6441.9756;0.9854
2023-08-30T00:00:00.0/2023-08-31T00:00:00.0;9625.2939;7151.4858;5932.6240;1218.8616;9248.6797;6754.2134;5108.0469;1646.1664;8181.1738;0.9812
2023-08-31T00:00:00.0/2023-09-01T00:00:00.0;9573.5889;6987.8008;5614.1729;1373.6278;8632.2715;6804.0933;5217.3501;1586.7432;8003.3564;0.9823
2023-09-01T00:00:00.0/2023-09-02T00:00:00.0;9521.3438;6480.8838;4210.0737;2270.8098;6241.8877;4316.0044;1126.1058;3189.8984;1835.9830;0.9826
2023-09-02T00:00:00.0/2023-09-03T00:00:00.0;9468.5654;6848.7778;5287.7651;1561.0131;8167.4463;6848.7778;5287.7651;1561.0131;8167.4463;0.9833
2023-09-03T00:00:00.0/2023-09-04T00:00:00.0;9415.2021;6744.6016;5056.8398;1687.7615;7771.8374;6705.4487;4963.6323;1741.8165;7653.8208;0.9844
2023-09-04T00:00:00.0/2023-09-05T00:00:00.0;9361.3691;6406.5947;4063.4434;2343.1514;6175.4028;4787.7798;1469.1998;3318.5801;1976.2788;0.9799
2023-09-05T00:00:00.0/2023-09-06T00:00:00.0;9307.0029;6655.2065;4943.9258;1711.2806;7577.6011;4730.2983;2045.1864;2685.1118;3348.2473;0.9806
2023-09-06T00:00:00.0/2023-09-07T00:00:00.0;9252.1592;6460.3184;4477.7114;1982.6071;6987.0518;3398.7263;1144.6749;2254.0515;2129.4053;0.9812
2023-09-07T00:00:00.0/2023-09-08T00:00:00.0;9196.8076;6147.2148;3824.5737;2322.6411;5800.9204;3195.4104;459.1934;2736.2170;658.8148;0.9819
2023-09-08T00:00:00.0/2023-09-09T00:00:00.0;9140.9434;6418.3999;4724.3115;1694.0885;7320.3325;5029.0039;2240.6870;2788.3167;3328.9600;0.9833
2023-09-09T00:00:00.0/2023-09-10T00:00:00.0;9084.6328;6454.6724;4969.6689;1485.0037;7847.7109;6168.4429;4201.5371;1966.9055;6732.3574;0.9837
2023-09-10T00:00:00.0/2023-09-11T00:00:00.0;9027.8301;6675.3643;5505.9624;1169.4019;8923.0596;6410.6890;4792.0698;1618.6193;7754.9946;0.9847
